rank,university_name,country
227,Shanxi Agricultural University,China
228,Qingdao Agricultural University,China
229,Northeast Electric Power University,China
229,Zhejiang Ocean University,China
231,Zhejiang University of Science and Technology,China
232,Chengdu University,China
233,Harbin University of Science and Technology,China
234,Shanghai University of Engineering Science,China
235,Xi'an Shiyou University,China
236,Shanghai Institute of Technology,China
237,Guizhou Normal University,China
238,Hebei University of Science and Technology,China
239,Foshan University,China
240,Qinghai Normal University,China
241,Gansu Agricultural University,China
242,Dongguan University of Technology,China
243,Civil Aviation University of China,China
244,Chongqing University of Technology,China
245,North China University of Water Resources and Electric Power,China
246,Wuhan Polytechnic University,China
247,Ludong University,China
248,Gannan Normal University,China
249,Shandong Jianzhu University,China
250,Jianghan University,China
251,Hangzhou City University,China
252,Liaocheng University,China
253,Shenyang University of Chemical Technology,China
254,Guilin University of Technology,China
255,Chengdu University of Information Technology,China
256,Xi'an Polytechnic University,China
256,Zhengzhou University of Light Industry,China
258,Anhui Polytechnic University,China
258,China West Normal University,China
260,Dalian Jiaotong University,China
261,Nanjing Institute of Technology,China
262,Shanghai Customs College,China
263,Liaoning Petrochemical University,China
264,Shenyang Ligong University,China
265,Shaoxing University,China
266,Yan'an University,China
267,Inner Mongolia University of Technology,China
267,Shenyang University,China
269,Xiamen University of Technology,China
270,Xihua University,China
271,Changchun University of Technology,China
272,Shenyang Normal University,China
273,Dalian University,China
273,North China University of Science and Technology,China
275,Anhui Jianzhu University,China
276,Hunan University of Technology,China
277,Jinggangshan University,China
278,Shanxi Normal University,China
279,Liaoning Technical University,China
280,Beijing University of Agriculture,China
281,NingboTech University,China
282,Fujian University of Technology,China
283,Changshu Institute of Technology,China
284,Zhongyuan University of Technology,China
285,Hefei University,China
286,Chongqing University of Science and Technology,China
287,Bohai University,China
288,Yunnan Agricultural University,China
289,Taizhou University,China
290,Dali University,China
291,Taiyuan University of Science and Technology,China
292,Heilongjiang Bayi Agricultural University,China
293,Ningbo University of Technology,China
294,Shenzhen Technology University,China
295,Hebei University of Engineering,China
296,University of Science and Technology Liaoning,China
297,Beijing Union University,China
297,Beijing Institute of Petrochemical Technology,China
299,Xinjiang Agricultural University,China
300,Jishou University,China
300,Liaoning University of Technology,China
302,Beijing Institute of Graphic Communication,China
303,Minnan Normal University,China
304,Huaiyin Institute of Technology,China
305,Minjiang University,China
306,Guangdong Ocean University,China
307,Xinyang Normal University,China
308,Hebei GEO University,China
309,Beihua University,China
310,Jilin Normal University,China
311,Linyi University,China
312,Huaibei Normal University,China
313,Dalian Ocean University,China
314,Nanning Normal University,China
315,Yancheng Institute of Technology,China
316,Jilin Jianzhu University,China
317,Wuxi University,China
318,Tarim University,China
319,Guangdong Polytechnic Normal University,China
320,Changsha University,China
321,Jingdezhen Ceramic University,China
322,Henan Institute of Science and Technology,China
322,Jiangsu Ocean University,China
324,Tianjin Chengjian University,China
325,Hubei Normal University,China
326,Guizhou Education University,China
327,Jiangxi Science and Technology Normal University,China
328,Southwest Forestry University,China
329,Wuyi University,China
330,Inner Mongolia University of Science & Technology,China
331,Nanjing XiaoZhuang University,China
332,Changchun Normal University,China
333,Yangtze Normal University,China
333,Chongqing University of Arts and Sciences,China
335,Xinjiang Normal University,China
336,Anqing Normal University,China
336,Huaiyin Normal University,China
338,Zhejiang Wanli University,China
339,Jiangsu University of Technology,China
340,Shanghai Dianji University,China
341,Shanghai Polytechnic University,China
342,Sichuan University of Science and Engineering,China
343,Changzhou Institute of Technology,China
344,Hunan Institute of Science and Technology,China
345,Yancheng Teachers University,China
346,Zhongkai University of Agriculture and Engineering,China
347,Hubei University of Automotive Technology,China
348,Guangxi University of Science and Technology,China
348,Huanggang Normal University,China
350,Nanchang Institute of Technology,China
351,Yulin University,China
352,Jinling Institute of Technology,China
352,Shandong Jiaotong University,China
354,Hubei University of Education,China
355,Xuzhou University of Technology,China
356,Tianjin Agricultural University,China
357,Quanzhou Normal University,China
358,Hubei University of Arts and Science,China
359,Luoyang Normal University,China
360,TianJin University of Technology and Education,China
361,Shaanxi University of Technology,China
362,Hunan First Normal University,China
363,Hefei Normal University,China
364,Guangdong University of Petrochemical Technology,China
365,Anhui Science and Technology University,China
365,Mianyang Teachers' College,China
367,Quzhou University,China
368,Guiyang University,China
369,Huizhou University,China
370,Sanming University,China
371,Qiqihar University,China
372,Chongqing Three Gorges University,China
373,Changchun Institute of Technology,China
373,Lishui University,China
375,Hengyang Normal University,China
376,Xizang Agricultural and Animal Husbandry University,China
377,Panzhihua University,China
378,Xiangnan University,China
379,Changchun University,China
379,Tongren University,China
381,Hubei University of Science and Technology,China
381,Luoyang Institute of Science and Technology,China
383,Civil Aviation Flight University of China,China
384,Lingnan Normal University,China
385,Fuyang Normal University,China
385,Jiamusi University,China
385,Qiannan Normal College for Nationalities,China
385,Taishan University,China
389,Heilongjiang University of Science and Technology,China
390,Longyan University,China
391,Institute of Disaster Prevention,China
392,Chengdu Normal University,China
393,Neijiang Normal University,China
394,Chuzhou University,China
395,Hubei Polytechnic University,China
396,Zhoukou Normal University,China
397,Hebei Normal University of Science and Technology,China
397,Jiangsu Second Normal University,China
399,Shandong University of Aeronautics,China
400,Huaihua University,China
401,Shenyang Institute of Engineering,China
402,Putian University,China
403,Hunan City University,China
404,North China Institute of Aerospace Engineering,China
405,Shaoguan University,China
406,Hunan Institute of Engineering,China
407,Qujing Normal University,China
408,Hunan University of Arts and Science,China
408,Zhejiang University of Water Resources and Electric Power,China
410,Weifang University,China
411,Yibin University,China
412,Dezhou University,China
412,West Anhui University,China
414,Nanyang Normal University,China
415,Beibu Gulf University,China
416,Guizhou Institute of Technology,China
416,Hunan University of Science and Engineering,China
418,Zaozhuang University,China
419,Mudanjiang Normal University,China
420,Suqian University,China
421,Taiyuan Normal University,China
422,Shaoyang University,China
423,Guangdong University of Education,China
423,Yulin Normal University,China
425,Shijiazhuang University,China
426,Tonghua Normal University,China
426,Xi'an University,China
428,Henan University Of Engineering,China
428,Zhaoqing University,China
428,Zunyi Normal University,China
431,Heilongjiang Institute of Technology,China
431,Kunming University,China
433,Ningde Normal University,China
434,Nanyang Institute Of Technology,China
436,Huanghuai University,China
437,Yichun University,China
438,Jilin Institute of Chemical Technology,China
439,Xuchang University,China
440,Hanshan Normal University,China
440,Shangrao Normal University,China
442,Baoji University of Arts and Sciences,China
442,Chongqing University of Education,China
442,Leshan Normal University,China
445,Huainan Normal University,China
445,Wenzhou University of Technology,China
447,Anyang Normal University,China
448,Xichang College,China
449,Guangzhou Maritime University,China
450,Henan University of Urban Construction,China
451,Qilu Normal University,China
452,Huzhou College,China
453,Tianshui Normal University,China
454,"Hunan University of Humanities, Science and Technology",China
454,Tangshan Normal University,China
456,Shangqiu Normal University,China
457,Chengdu Technological University,China
